,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
1318,600036.SH,20160104,15.224,15.258,14.5865,14.6885,15.292,-0.6035000000000004,-3.9465,373405.69,650573.706
1317,600036.SH,20160105,14.595,14.918,14.4505,14.646,14.6885,-0.04249999999999865,-0.2893,515777.96,892179.586
1316,600036.SH,20160106,14.6205,14.731,14.5015,14.714,14.646,0.06799999999999962,0.4643,319826.91,551646.036
1315,600036.SH,20160107,14.578,14.578,14.034,14.17,14.714,-0.5440000000000005,-3.6972,199815.33,335909.456
1314,600036.SH,20160108,14.2805,14.5015,14.119,14.289,14.17,0.11899999999999977,0.8398,608227.77,1024996.338
1313,600036.SH,20160111,14.1785,14.1785,13.6005,13.6345,14.289,-0.6545000000000005,-4.5804,654912.42,1071917.369
1312,600036.SH,20160112,13.626,13.813,13.4985,13.5835,13.6345,-0.05099999999999838,-0.3741,468282.22,751250.882
1311,600036.SH,20160113,13.779,13.779,13.4135,13.49,13.5835,-0.09350000000000058,-0.6883,573435.96,915062.415
1310,600036.SH,20160114,13.218,13.5665,13.1925,13.507,13.49,0.01699999999999946,0.126,429630.31,678479.48
1309,600036.SH,20160115,13.49,13.5325,13.133,13.1585,13.507,-0.3484999999999996,-2.5801,344215.64,539614.094
1308,600036.SH,20160118,13.082,13.3455,13.0565,13.1075,13.1585,-0.051000000000000156,-0.3876,267350.62,414899.638
1307,600036.SH,20160119,13.2435,13.405,13.048,13.354,13.1075,0.24649999999999928,1.8806,388351.8,605769.304
1306,600036.SH,20160120,13.2265,13.3285,12.9545,13.1925,13.354,-0.16149999999999842,-1.2094,389306.81,602278.61
1305,600036.SH,20160121,13.099,13.3285,12.9885,13.0055,13.1925,-0.18700000000000117,-1.4175,353224.11,547241.543
1304,600036.SH,20160122,13.1585,13.167,12.8609,12.9885,13.0055,-0.01699999999999946,-0.1307,307008.16,469666.147
1303,600036.SH,20160125,12.997,13.167,12.9205,13.1585,12.9885,0.16999999999999993,1.3089,218439.5,334419.005
1302,600036.SH,20160126,13.031,13.082,12.5634,12.6314,13.1585,-0.5271000000000008,-4.0058,302085.97,456333.853
1301,600036.SH,20160127,12.7164,12.9375,12.6144,12.7504,12.6314,0.11900000000000155,0.9421,512688.41,771408.372
1300,600036.SH,20160128,12.7164,12.8014,12.4274,12.5124,12.7504,-0.23800000000000132,-1.8666,254779.46,379361.55
1299,600036.SH,20160129,12.5379,12.8184,12.4274,12.7419,12.5124,0.22949999999999982,1.8342,364674.61,544618.81
1298,600036.SH,20160201,12.7334,12.9034,12.3084,12.5124,12.7419,-0.22949999999999982,-1.8011,270355.94,399202.433
1297,600036.SH,20160202,12.4529,12.7079,12.4529,12.6229,12.5124,0.11050000000000004,0.8831,187777.72,279081.13
1296,600036.SH,20160203,12.5124,12.5804,12.3679,12.4699,12.6229,-0.1529999999999987,-1.2121,236607.99,346543.305
1295,600036.SH,20160204,12.5719,12.6909,12.4869,12.6484,12.4699,0.17849999999999966,1.4314,223193.14,330677.619
1294,600036.SH,20160205,12.6654,12.6909,12.5634,12.6314,12.6484,-0.017000000000001236,-0.1344,168853.68,250744.421
1293,600036.SH,20160215,12.3254,12.5974,12.2999,12.4614,12.6314,-0.16999999999999993,-1.3459,192908.19,282388.055
1292,600036.SH,20160216,12.5549,12.7929,12.5124,12.6994,12.4614,0.23800000000000132,1.9099,265698.33,397122.796
1291,600036.SH,20160217,12.7079,12.8099,12.6484,12.7759,12.6994,0.07649999999999935,0.6024,382854.8,573493.653
1290,600036.SH,20160218,12.7079,12.8014,12.6399,12.6654,12.7759,-0.11050000000000004,-0.8649,287651.9,430450.518
1289,600036.SH,20160219,12.6654,12.6994,12.4784,12.5379,12.6654,-0.1274999999999995,-1.0067,225154.37,333076.955
1288,600036.SH,20160222,12.6484,12.8439,12.5719,12.7589,12.5379,0.22100000000000009,1.7627,386406.86,578307.946
1287,600036.SH,20160223,12.7589,12.7589,12.5124,12.6059,12.7589,-0.15300000000000047,-1.1992,248628.0,369124.45
1286,600036.SH,20160224,12.5379,12.6399,12.4699,12.5889,12.6059,-0.01699999999999946,-0.1349,214750.72,316686.628
1285,600036.SH,20160225,12.5889,12.5889,12.0789,12.1129,12.5889,-0.47600000000000087,-3.7811,511306.23,740824.073
1284,600036.SH,20160226,12.1979,12.3849,12.1384,12.2829,12.1129,0.16999999999999993,1.4035,286839.94,413497.074
1283,600036.SH,20160229,12.2659,12.4104,11.9344,12.3764,12.2829,0.09350000000000058,0.7612,483185.46,692907.439
1282,600036.SH,20160301,12.3764,12.5634,12.2064,12.4529,12.3764,0.07649999999999935,0.6181,320287.83,467774.894
1281,600036.SH,20160302,12.5719,12.7249,12.5124,12.7164,12.4529,0.2635000000000005,2.116,604562.93,897678.345
1280,600036.SH,20160303,12.7079,12.912,12.6739,12.8779,12.7164,0.1615000000000002,1.27,535118.76,803689.976
1279,600036.SH,20160304,12.8694,13.6175,12.7674,13.575,12.8779,0.6970999999999989,5.4131,1644678.81,2572638.992
1278,600036.SH,20160307,13.5155,13.6005,13.303,13.4135,13.575,-0.16149999999999842,-1.1897,410664.85,649708.952
1277,600036.SH,20160308,13.4135,13.592,12.929,13.5665,13.4135,0.1529999999999987,1.1406,452570.82,704533.972
1276,600036.SH,20160309,13.371,13.6685,13.099,13.643,13.5665,0.07650000000000112,0.5639,742320.24,1175103.105
1275,600036.SH,20160310,13.4475,13.5835,13.303,13.3115,13.643,-0.33150000000000013,-2.4298,198869.94,314373.898
1274,600036.SH,20160311,13.252,13.4135,13.1075,13.3965,13.3115,0.08499999999999908,0.6385,327895.6,512388.942
1273,600036.SH,20160314,13.4135,13.6345,13.303,13.3625,13.3965,-0.03399999999999892,-0.2538,314968.16,500190.854
1272,600036.SH,20160315,13.439,13.592,13.2605,13.4815,13.3625,0.11899999999999977,0.8906,355205.08,561733.616
1271,600036.SH,20160316,13.4985,13.983,13.422,13.9575,13.4815,0.4759999999999991,3.5308,1236574.53,2016510.071
1270,600036.SH,20160317,13.932,13.9405,13.694,13.796,13.9575,-0.1615000000000002,-1.1571,460711.49,748342.344
1269,600036.SH,20160318,13.932,13.9405,13.6345,13.745,13.796,-0.051000000000000156,-0.3697,595776.53,965239.507
1268,600036.SH,20160321,13.779,13.9745,13.694,13.7875,13.745,0.042500000000000426,0.3092,502537.93,816507.323
1267,600036.SH,20160322,13.83,13.9575,13.7365,13.762,13.7875,-0.02549999999999919,-0.185,337419.62,548665.831
1266,600036.SH,20160323,13.8215,13.847,13.7535,13.7535,13.762,-0.00849999999999973,-0.0618,191400.21,310370.785
1265,600036.SH,20160324,13.7535,13.796,13.609,13.694,13.7535,-0.059499999999999886,-0.4326,239908.03,386975.645
1264,600036.SH,20160325,13.7025,13.7705,13.6855,13.711,13.694,0.01699999999999946,0.1241,159292.95,257057.436
